"account_id";"district_id";"frequency";"date"
576;55;"POPLATEK MESICNE";250101
3818;74;"POPLATEK MESICNE";250101
704;55;"POPLATEK MESICNE";250101
2378;16;"POPLATEK MESICNE";250101
2632;24;"POPLATEK MESICNE";250102
1972;77;"POPLATEK MESICNE";250102
1539;1;"POPLATEK PO OBRATU";250103
793;47;"POPLATEK MESICNE";250103
2484;74;"POPLATEK MESICNE";250103
1695;76;"POPLATEK MESICNE";250103
1726;48;"POPLATEK MESICNE";250103
2881;70;"POPLATEK MESICNE";250104
2357;19;"POPLATEK MESICNE";250104
2177;62;"POPLATEK MESICNE";250104
485;6;"POPLATEK PO OBRATU";250104
652;21;"POPLATEK MESICNE";250105
9635;70;"POPLATEK MESICNE";250105
1844;44;"POPLATEK MESICNE";250106
1926;37;"POPLATEK MESICNE";250106
2393;10;"POPLATEK MESICNE";250107
3510;41;"POPLATEK MESICNE";250107
1276;36;"POPLATEK MESICNE";250107
1637;1;"POPLATEK MESICNE";250108
3871;26;"POPLATEK MESICNE";250108
192;55;"POPLATEK MESICNE";250108
764;1;"POPLATEK MESICNE";250108
2087;7;"POPLATEK TYDNE";250108
2122;68;"POPLATEK MESICNE";250108
3592;54;"POPLATEK MESICNE";250108
3487;41;"POPLATEK MESICNE";250108
435;38;"POPLATEK MESICNE";250108
1730;1;"POPLATEK MESICNE";250109
1493;41;"POPLATEK MESICNE";250109
374;38;"POPLATEK MESICNE";250109
2925;1;"POPLATEK MESICNE";250110
866;9;"POPLATEK MESICNE";250110
1628;60;"POPLATEK MESICNE";250110
2379;44;"POPLATEK MESICNE";250110
1979;26;"POPLATEK MESICNE";250111
346;37;"POPLATEK MESICNE";250111
1338;74;"POPLATEK MESICNE";250111
1909;14;"POPLATEK MESICNE";250112
2099;3;"POPLATEK TYDNE";250112
3760;44;"POPLATEK MESICNE";250113
5270;44;"POPLATEK MESICNE";250113
1699;53;"POPLATEK MESICNE";250114
3909;1;"POPLATEK MESICNE";250114
2926;50;"POPLATEK MESICNE";250114
1731;33;"POPLATEK MESICNE";250114
11265;15;"POPLATEK MESICNE";250114
2519;4;"POPLATEK MESICNE";250115
10364;55;"POPLATEK MESICNE";250117
1481;15;"POPLATEK MESICNE";250117
401;32;"POPLATEK MESICNE";250118
4034;1;"POPLATEK MESICNE";250118
2330;54;"POPLATEK MESICNE";250119
1806;40;"POPLATEK MESICNE";250119
3834;54;"POPLATEK MESICNE";250119
1222;66;"POPLATEK MESICNE";250120
212;27;"POPLATEK TYDNE";250120
456;49;"POPLATEK MESICNE";250121
459;47;"POPLATEK MESICNE";250121
772;45;"POPLATEK MESICNE";250121
1019;52;"POPLATEK MESICNE";250121
11295;74;"POPLATEK MESICNE";250121
2970;60;"POPLATEK MESICNE";250122
2676;73;"POPLATEK MESICNE";250122
1536;41;"POPLATEK TYDNE";250122
1179;74;"POPLATEK MESICNE";250123
280;25;"POPLATEK MESICNE";250123
2425;41;"POPLATEK MESICNE";250123
9307;68;"POPLATEK MESICNE";250124
4055;23;"POPLATEK MESICNE";250124
