"card_id";"disp_id";"type";"issued"
1005;9285;"classic";251107 00:00:00
104;588;"classic";250119 00:00:00
747;4915;"classic";250205 00:00:00
70;439;"classic";250208 00:00:00
577;3687;"classic";250215 00:00:00
377;2429;"classic";250303 00:00:00
721;4680;"junior";250405 00:00:00
437;2762;"classic";250601 00:00:00
188;1146;"classic";250619 00:00:00
13;87;"classic";250629 00:00:00
732;4763;"classic";250721 00:00:00
181;1066;"classic";250819 00:00:00
384;2475;"junior";250915 00:00:00
309;1946;"classic";250919 00:00:00
478;3084;"classic";251009 00:00:00
563;3589;"classic";251021 00:00:00
369;2363;"classic";251108 00:00:00
376;2428;"classic";251110 00:00:00
483;3115;"classic";251124 00:00:00
174;1039;"junior";251204 00:00:00
658;4251;"classic";251225 00:00:00
763;5138;"junior";251230 00:00:00
778;5275;"classic";250102 00:00:00
1039;9837;"classic";250107 00:00:00
477;3082;"junior";250116 00:00:00
168;1018;"classic";250124 00:00:00
314;1999;"junior";250127 00:00:00
468;3023;"classic";250130 00:00:00
208;1246;"gold";250208 00:00:00
766;5200;"classic";250211 00:00:00
464;2984;"classic";250221 00:00:00
497;3184;"classic";250303 00:00:00
166;999;"classic";250305 00:00:00
15;114;"classic";250305 00:00:00
503;3225;"classic";250308 00:00:00
1038;9787;"junior";250330 00:00:00
737;4791;"classic";250413 00:00:00
418;2623;"classic";250414 00:00:00
759;5117;"junior";250418 00:00:00
223;1353;"classic";250418 00:00:00
5;51;"junior";250424 00:00:00
159;946;"classic";250501 00:00:00
1223;13231;"junior";250502 00:00:00
662;4293;"classic";250509 00:00:00
779;5323;"junior";250521 00:00:00
1040;9890;"junior";250528 00:00:00
545;3458;"classic";250530 00:00:00
467;3019;"classic";250605 00:00:00
1247;13660;"classic";250613 00:00:00
652;4211;"classic";250616 00:00:00
559;3573;"classic";250617 00:00:00
719;4663;"classic";250624 00:00:00
397;2513;"classic";250624 00:00:00
107;593;"classic";250627 00:00:00
661;4270;"classic";250703 00:00:00
484;3116;"classic";250704 00:00:00
501;3197;"classic";250709 00:00:00
422;2650;"junior";250711 00:00:00
705;4555;"classic";250712 00:00:00
410;2569;"classic";250720 00:00:00
136;778;"classic";250728 00:00:00
592;3782;"junior";250807 00:00:00
262;1647;"junior";250824 00:00:00
18;128;"classic";250825 00:00:00
3;41;"gold";250903 00:00:00
98;537;"classic";250906 00:00:00
167;1011;"classic";250915 00:00:00
97;531;"junior";250919 00:00:00
699;4532;"classic";250926 00:00:00
342;2157;"classic";250927 00:00:00
713;4627;"classic";250930 00:00:00
118;652;"classic";251022 00:00:00
783;5433;"junior";251024 00:00:00
1103;11189;"classic";251104 00:00:00
504;3230;"junior";251106 00:00:00
261;1629;"gold";251109 00:00:00
296;1876;"gold";251113 00:00:00
113;629;"junior";251116 00:00:00
92;508;"classic";251120 00:00:00
1225;13268;"classic";251122 00:00:00
393;2498;"junior";251203 00:00:00
695;4507;"classic";251215 00:00:00
666;4328;"junior";251225 00:00:00
462;2978;"classic";251230 00:00:00
85;489;"classic";251231 00:00:00
337;2141;"classic";250101 00:00:00
771;5233;"classic";250108 00:00:00
379;2431;"classic";250112 00:00:00
106;592;"classic";250114 00:00:00
606;3883;"classic";250122 00:00:00
427;2688;"gold";250125 00:00:00
202;1228;"classic";250204 00:00:00
814;5911;"classic";250215 00:00:00
1064;10328;"classic";250217 00:00:00
14;112;"classic";250217 00:00:00
423;2657;"classic";250219 00:00:00
989;9119;"classic";250221 00:00:00
364;2329;"classic";250229 00:00:00
267;1691;"junior";250309 00:00:00
621;3970;"junior";250319 00:00:00
1139;11836;"junior";250326 00:00:00
725;4715;"junior";250330 00:00:00
150;859;"classic";250330 00:00:00
302;1900;"classic";250331 00:00:00
372;2395;"classic";250331 00:00:00
499;3187;"classic";250403 00:00:00
229;1384;"classic";250405 00:00:00
289;1831;"junior";250408 00:00:00
1100;11101;"junior";250410 00:00:00
37;238;"classic";250420 00:00:00
286;1812;"gold";250421 00:00:00
157;907;"classic";250424 00:00:00
216;1310;"junior";250424 00:00:00
977;8968;"classic";250508 00:00:00
183;1080;"classic";250508 00:00:00
945;8342;"junior";250509 00:00:00
44;268;"junior";250517 00:00:00
600;3829;"classic";250520 00:00:00
127;714;"classic";250523 00:00:00
764;5159;"classic";250529 00:00:00
204;1239;"junior";250530 00:00:00
1134;11742;"classic";250531 00:00:00
312;1971;"classic";250608 00:00:00
313;1980;"classic";250617 00:00:00
641;4116;"classic";250618 00:00:00
731;4751;"classic";250623 00:00:00
84;487;"classic";250626 00:00:00
265;1680;"classic";250628 00:00:00
1176;12502;"gold";250703 00:00:00
1233;13382;"classic";250706 00:00:00
407;2555;"classic";250711 00:00:00
320;2045;"classic";250711 00:00:00
1187;12635;"gold";250717 00:00:00
121;666;"junior";250722 00:00:00
1055;10171;"classic";250724 00:00:00
303;1912;"classic";250801 00:00:00
651;4201;"junior";250802 00:00:00
736;4789;"classic";250803 00:00:00
24;153;"junior";250805 00:00:00
587;3763;"junior";250805 00:00:00
119;655;"classic";250808 00:00:00
670;4343;"classic";250808 00:00:00
227;1380;"classic";250810 00:00:00
1164;12269;"classic";250812 00:00:00
1043;9974;"junior";250814 00:00:00
278;1779;"classic";250815 00:00:00
103;584;"junior";250817 00:00:00
673;4353;"junior";250831 00:00:00
38;242;"classic";250831 00:00:00
470;3036;"classic";250902 00:00:00
890;7422;"classic";250908 00:00:00
514;3267;"classic";250910 00:00:00
741;4832;"classic";250911 00:00:00
882;7195;"classic";250911 00:00:00
12;83;"junior";250911 00:00:00
152;876;"classic";250916 00:00:00
163;984;"classic";250918 00:00:00
708;4568;"junior";250924 00:00:00
1087;10887;"classic";251006 00:00:00
854;6753;"classic";251007 00:00:00
601;3830;"classic";251008 00:00:00
99;548;"gold";251009 00:00:00
547;3477;"classic";251011 00:00:00
40;255;"classic";251013 00:00:00
220;1333;"classic";251013 00:00:00
390;2490;"classic";251014 00:00:00
