"loan_id";"account_id";"date";"amount";"duration";"payments";"status"
5314;1787;250705;96396;12;8033.00;"B"
5316;1801;250711;165960;36;4610.00;"A"
6863;9188;250728;127080;60;2118.00;"A"
5325;1843;250803;105804;36;2939.00;"A"
7240;11013;250906;274740;60;4579.00;"A"
6687;8261;250913;87840;24;3660.00;"A"
7284;11265;250915;52788;12;4399.00;"A"
6111;5428;250924;174744;24;7281.00;"B"
7235;10973;251013;154416;48;3217.00;"A"
5997;4894;251104;117024;24;4876.00;"A"
7121;10364;251110;21924;36;609.00;"A"
6077;5270;251122;79608;24;3317.00;"A"
6228;6034;251201;464520;60;7742.00;"B"
6356;6701;251208;95400;36;2650.00;"A"
5523;2705;251208;93888;36;2608.00;"A"
6456;7123;251209;47016;12;3918.00;"A"
7104;10320;251213;259740;60;4329.00;"A"
6820;9034;251216;38148;12;3179.00;"A"
6876;9236;251221;86616;12;7218.00;"A"
7097;10266;251223;75624;24;3151.00;"B"
4959;2;250105;80952;24;3373.00;"A"
6499;7401;250105;80952;24;3373.00;"A"
5479;2486;250110;24516;12;2043.00;"A"
5170;1071;250120;253200;60;4220.00;"C"
6721;8475;250121;21072;24;878.00;"A"
7259;11111;250131;108144;36;3004.00;"A"
5285;1603;250206;78936;12;6578.00;"A"
5189;1166;250207;149040;48;3105.00;"A"
6650;8073;250217;49320;12;4110.00;"B"
7226;10940;250223;197748;36;5493.00;"A"
6087;5313;250227;300660;60;5011.00;"C"
7262;11135;250301;182628;36;5073.00;"A"
5519;2694;250308;91632;12;7636.00;"A"
6577;7753;250311;51696;24;2154.00;"A"
6509;7445;250315;55368;24;2307.00;"A"
6520;7485;250316;91200;24;3800.00;"A"
6699;8330;250330;7656;24;319.00;"A"
6336;6555;250331;212400;36;5900.00;"A"
7055;10079;250406;167100;60;2785.00;"C"
6103;5385;250407;149340;60;2489.00;"C"
6202;5891;250418;65184;12;5432.00;"A"
7066;10131;250502;215388;36;5983.00;"B"
6696;8321;250509;89040;60;1484.00;"C"
6072;5256;250510;193968;36;5388.00;"A"
5130;813;250511;24312;12;2026.00;"A"
5568;2933;250517;272520;60;4542.00;"C"
6678;8173;250520;80340;12;6695.00;"A"
6998;9833;250521;97632;12;8136.00;"A"
6580;7769;250522;196080;48;4085.00;"A"
6316;6473;250526;76908;12;6409.00;"B"
6512;7454;250526;63312;48;1319.00;"A"
6407;6930;250526;25944;24;1081.00;"A"
5002;173;250531;104808;12;8734.00;"A"
6647;8051;250601;208320;48;4340.00;"A"
7137;10439;250603;151560;24;6315.00;"A"
6903;9337;250604;52128;24;2172.00;"A"
5918;4576;250604;300204;36;8339.00;"A"
6642;8027;250605;77640;12;6470.00;"A"
6210;5927;250606;87216;48;1817.00;"B"
6279;6273;250607;87360;24;3640.00;"A"
7249;11065;250612;69360;48;1445.00;"A"
6736;8558;250614;288360;60;4806.00;"C"
6112;5442;250617;174744;24;7281.00;"B"
